pattern,bb_paragraph,note
"pre-?departure clearance|\bPDC\b|IFR (clearance|flight plan)|departure clearance|route clearance|Clear PDC","4-3-2 (PDF p.223); 4-2-1 (PDF p.217)","BB has no paragraph on 'pre-departure clearance' by name; PDC/DCL appear only in passing (4-5-7 climb-via text). 4-3-2 = Departure Clearances; 4-2-1 = Clearance Items."
"EDCT|Expected Departure Clearance|hold for release|void time|departure release|Release departure","4-3-4 (PDF p.231)","4-3-4 = Departure Release, Hold for Release, Release Times, Departure Restrictions, and Clearance Void Times. EDCT also in P/CG (PDF p.621)."
"hold short|taxi|movement area","3-7-2 (PDF p.152)","3-7-2 = Taxi and Ground Movement Operations (hold short instructions, read-back of hold short)."
"runway crossing|crossing","3-1-4 (PDF p.122); 3-7-2 (PDF p.152)","3-1-4 = Coordination Between Local and Ground Controllers."
"takeoff|take off|line up","3-9-10 (PDF p.180); 3-9-4 (PDF p.166)","3-9-10 = Takeoff Clearance; 3-9-4 = Line Up and Wait."
"abort takeoff|cancel","3-9-11 (PDF p.183)","3-9-11 = Cancellation of Takeoff Clearance."
"landing","3-10-5 (PDF p.193)","3-10-5 = Landing Clearance."
"hand ?off|hand over(?! flight strips)|transfer (of )?control|datablock","5-4-5 (PDF p.303); 5-4-6 (PDF p.304); 2-1-15 (PDF p.46)","5-4-5/5-4-6 = transferring / receiving controller handoff; 2-1-15 = Control Transfer."
"point ?out","5-4-7 (PDF p.305)","5-4-7 = Point Out (definitions in 5-4-2 Terms, methods in 5-4-3)."
"read ?back","2-4-3 (PDF p.79)","2-4-3 = Pilot Acknowledgment/Read Back."
"ATIS","2-9-2 (PDF p.111); 2-9-3 (PDF p.112)","Chapter 2 Section 9 = ATIS procedures."
"flight strip|strips","2-3-1 (PDF p.63); 2-3-4 (PDF p.67)","Chapter 2 Section 3 = Flight Progress Strips."
"traffic (advisor|in sight)","2-1-21 (PDF p.50)","2-1-21 = Traffic Advisories."
"wake turbulence","2-1-20 (PDF p.49)","2-1-20 = Wake Turbulence Cautionary Advisories."
"braking action|breaking action|runway condition","3-3-4 (PDF p.134); 3-3-5 (PDF p.135)","Braking Action / Braking Action Advisories. (The report prints 'breaking actions' in Table 2.7 / C-1.)"
"PIREP","2-6-2 (PDF p.99)","2-6-2 = PIREP Solicitation and Dissemination."
"altimeter","2-7-1 (PDF p.107)","2-7-1 = Current Settings."
"holding","4-6-1 (PDF p.253); 4-6-4 (PDF p.255)","4-6-1 requires issuing holding items at least 5 minutes before the estimated clearance-limit arrival when delay is expected (matches the report's 'warn pilots at least 5 minutes before the holding fix')."
"missed approach|go[- ]around","4-8-9 (PDF p.274)","4-8-9 = Missed Approach."
"emergency|souls|mechanical issues","10-1-1 (PDF p.511); 10-1-3 (PDF p.511); 10-1-5 (PDF p.512)","Chapter 10 Section 1. 10-1-2 (Obtaining Information) does not itemize fuel remaining or persons on board, so 'state the number of souls, remaining fuel and cause' is only generically supported."
"minimum fuel|remaining fuel","2-1-8 (PDF p.42)","2-1-8 = Minimum Fuel."
"amend","4-2-5 (PDF p.218); 2-2-11 (PDF p.60)","4-2-5 = Route or Altitude Amendments; 2-2-11 = Forwarding Amended and UTM Data."
"ground stop","4-3-5 (PDF p.233)","4-3-5 = Ground Stop."
"ground delay|delay program|flow (control|restriction)|delay/flow|TMU|traffic management|Command Center","11-1-1 (PDF p.539); 11-1-2 (PDF p.539); 11-1-3 (PDF p.540)","Chapter 11 is short (3 paragraphs); TBFM in 11-1-3; decision-support tools in Chapter 13. STMC-in-charge duties in 11-1-2."
"Initial contact|establish contact|contact (other|new)|new frequency|frequency","2-1-15 (PDF p.46); 2-4-1 (PDF p.79)","Control transfer and radio communications. Topical match only."
"approach clearance|clear(ed)? .*approach|different approach|alternative approach","4-8-1 (PDF p.265)","4-8-1 = Approach Clearance."
"flight data|forward","2-2-2 (PDF p.57)","2-2-2 = Forwarding Information. Topical match only."
