interaction_id,table_id,row_type,pdf_page,report_page,table_title,condition_nominal,phase,sub_step,off_nominal_event,context,seq,media,subj_group,subj_position,obj_group,obj_position,interaction,condition,text_as_printed,controller_positions,freq,crit,rating_source,cited_7110_65,bb_paragraph,extraction_flags
2.1#01,2.1,interaction,28,p.26,Table 2.1: Examples of Off-Nominal Flightdeck Interactions with ATC,off-nominal,Preflight,,,report item no. 1,1,,FD,,ATC,,Advise ATC,If anything affects the RVSM status or ability to maintain flight level within 150 feet,1. Advise ATC (If anything affects the RVSM status or ability to maintain flight level within 150 feet),,,,,,n/a (flight-crew or FOC procedure; outside JO 7110.65),
2.1#02,2.1,interaction,28,p.26,Table 2.1: Examples of Off-Nominal Flightdeck Interactions with ATC,off-nominal,Preflight,,,report item no. 2,2,,FD,,ATC,,Advise ATC of the failure,If radar failure,2. Advise ATC of the failure (If radar failure),,,,,,n/a (flight-crew or FOC procedure; outside JO 7110.65),
2.1#03,2.1,interaction,28,p.26,Table 2.1: Examples of Off-Nominal Flightdeck Interactions with ATC,off-nominal,Preflight,,,report item no. 3,3,,FD,,ATC,,Contact ATC,"If an FMC, FMGC, GPS/IRS fails inflight","3. Contact ATC (If an FMC, FMGC, GPS/IRS fails inflight)",,,,,,n/a (flight-crew or FOC procedure; outside JO 7110.65),
2.1#04,2.1,interaction,28,p.26,Table 2.1: Examples of Off-Nominal Flightdeck Interactions with ATC,off-nominal,Preflight,,,report item no. 4,4,,FD,,ATC,,Contact ATC & request authority to continue operating at cleared flight level,If transponder fails,4. Contact ATC & request authority to continue operating at cleared flight level (If transponder fails),,,,,,n/a (flight-crew or FOC procedure; outside JO 7110.65),
2.1#05,2.1,interaction,28,p.26,Table 2.1: Examples of Off-Nominal Flightdeck Interactions with ATC,off-nominal,Preflight,,,report item no. 5,5,,FD,,ATC,,Contact ATC or OCC for PIREPS and other information,If radar attenuation,5. Contact ATC or OCC for PIREPS and other information (If radar attenuation),,,,,,n/a (flight-crew or FOC procedure; outside JO 7110.65),
2.1#06,2.1,interaction,28,p.26,Table 2.1: Examples of Off-Nominal Flightdeck Interactions with ATC,off-nominal,Taxi,,,report item no. 6,6,,FD,,ATC,,Notify ATC,If loss of All GPS/IRS and FMC procedures,6. Notify ATC (If loss of All GPS/IRS and FMC procedures),,,,,,n/a (flight-crew or FOC procedure; outside JO 7110.65),
2.1#07,2.1,interaction,28,p.26,Table 2.1: Examples of Off-Nominal Flightdeck Interactions with ATC,off-nominal,Inflight,,,report item no. 7,7,,FD,,ATC,,Notify ATC,If RNP-10 minimum equipment is not available,7. Notify ATC (If RNP-10 minimum equipment is not available),,,,,,n/a (flight-crew or FOC procedure; outside JO 7110.65),
2.1#08,2.1,interaction,28,p.26,Table 2.1: Examples of Off-Nominal Flightdeck Interactions with ATC,off-nominal,Inflight,,,report item no. 8,8,,FD,,ATC,,Report to ATC,"If loss of VOR, ADF, complete/partial loss of ILS receiver capability","8. Report to ATC (If loss of VOR, ADF, complete/partial loss of ILS receiver capability)",,,,,,n/a (flight-crew or FOC procedure; outside JO 7110.65),
2.1#09,2.1,interaction,28,p.26,Table 2.1: Examples of Off-Nominal Flightdeck Interactions with ATC,off-nominal,Inflight,,,report item no. 9,9,,FD,,ATC,,Report to ATC a degrade in the aircraft’s navigational capability as soon as possible,,9. Report to ATC a degrade in the aircraft’s navigational capability as soon as possible,,,,,,n/a (flight-crew or FOC procedure; outside JO 7110.65),
2.1#10,2.1,interaction,28,p.26,Table 2.1: Examples of Off-Nominal Flightdeck Interactions with ATC,off-nominal,Inflight,,,report item no. 10,10,,FD,,ATC,,Request new clearance,If any RVSM system fails,10. Request new clearance (If any RVSM system fails),,,,,,n/a (flight-crew or FOC procedure; outside JO 7110.65),
